Company,Issue Type,Listing Date,Issue Amount (Rs.cr.),Subscription (x),Issue Price (Rs.),Close Price on Listing (Rs.),Market Price (Rs.),52 Week High,52 Week Low,YF_Ticker
,,,,,,,,,,
Manilam Industries India Ltd.,SME,"Feb 27, 2026",37.94,,69.0,,,,,
Gaudium IVF & Women Health Ltd.,Mainboard,"Feb 27, 2026",165.0,,79.0,,,"87.15 (Feb 27, 2026)",,
Yashhtej Industries (India) Ltd.,SME,"Feb 25, 2026",84.43,1.35,110.0,83.60 (-24%),79.45 (-27.77%),,,
Fractal Industries Ltd.,SME,"Feb 24, 2026",46.54,4.08,216.0,217.55 (0.72%),212.65 (-1.55%),"229.00 (Feb 24, 2026)","196.40 (Feb 26, 2026)",
Marushika Technology Ltd.,SME,"Feb 19, 2026",25.61,12.89,117.0,109.00 (-6.84%),98.25 (-16.03%),"123.00 (Feb 19, 2026)","98.80 (Feb 25, 2026)",
Aye Finance Ltd.,Mainboard,"Feb 16, 2026",1010.0,1.02,129.0,128.91 (-0.07%),126.84 (-1.71%),"149.69 (Feb 17, 2026)","117.20 (Feb 26, 2026)",
Fractal Analytics Ltd.,Mainboard,"Feb 16, 2026",2833.9,2.01,900.0,847.15 (-5.87%),811.70 (-9.82%),"921.00 (Feb 17, 2026)","802.35 (Feb 25, 2026)",
Biopol Chemicals Ltd.,SME,"Feb 13, 2026",29.63,22.26,108.0,105.50 (-2.31%),94.95 (-12.08%),"111.00 (Feb 13, 2026)","89.55 (Feb 20, 2026)",
PAN HR Solutions Ltd.,SME,"Feb 13, 2026",14.08,8.88,78.0,78.01 (0.01%),61.85 (-20.71%),"80.00 (Feb 13, 2026)","61.55 (Feb 26, 2026)",
Brandman Retail Ltd.,SME,"Feb 11, 2026",81.78,80.1,176.0,192.15 (9.18%),185.00 (5.11%),"243.80 (Feb 23, 2026)","178.50 (Feb 26, 2026)",
Grover Jewells Ltd.,SME,"Feb 11, 2026",32.13,13.73,88.0,100.80 (14.55%),155.65 (76.88%),"171.65 (Feb 25, 2026)","91.40 (Feb 11, 2026)",
CKK Retail Mart Ltd.,SME,"Feb 06, 2026",83.56,1.55,163.0,171.15 (5%),225.10 (38.1%),"265.25 (Feb 19, 2026)","163.00 (Feb 06, 2026)",
Kanishk Aluminium India Ltd.,SME,"Feb 04, 2026",27.74,1.04,73.0,55.48 (-24%),39.25 (-46.23%),"58.40 (Feb 04, 2026)","35.00 (Feb 17, 2026)",
Msafe Equipments Ltd.,SME,"Feb 04, 2026",62.75,116.77,123.0,150.30 (22.2%),119.65 (-2.72%),"151.20 (Feb 04, 2026)","117.00 (Feb 26, 2026)",
Accretion Nutraveda Ltd.,SME,"Feb 04, 2026",23.53,1.62,129.0,191.20 (48.22%),194.50 (50.78%),"208.00 (Feb 18, 2026)","150.10 (Feb 12, 2026)",
Kasturi Metal Composite Ltd.,SME,"Feb 03, 2026",16.73,12.92,64.0,63.16 (-1.31%),63.00 (-1.56%),"73.80 (Feb 23, 2026)","55.49 (Feb 16, 2026)",
Hannah Joseph Hospital Ltd.,SME,"Feb 02, 2026",39.9,1.47,70.0,68.25 (-2.5%),61.48 (-12.17%),"71.66 (Feb 03, 2026)","59.00 (Feb 25, 2026)",
Shayona Engineering Ltd.,SME,"Jan 30, 2026",14.11,5.38,144.0,151.00 (4.86%),134.85 (-6.35%),"166.00 (Feb 12, 2026)","129.00 (Feb 25, 2026)",
KRM Ayurveda Ltd.,SME,"Jan 29, 2026",69.74,52.19,135.0,180.70 (33.85%),203.75 (50.93%),"231.50 (Feb 11, 2026)","156.15 (Feb 04, 2026)",
Shadowfax Technologies Ltd.,Mainboard,"Jan 28, 2026",1907.27,2.02,124.0,109.98 (-11.31%),121.20 (-2.06%),"127.75 (Feb 13, 2026)","98.55 (Jan 30, 2026)",
Digilogic Systems Ltd.,SME,"Jan 28, 2026",76.94,1.23,104.0,79.05 (-23.99%),90.28 (-13.19%),"107.00 (Feb 06, 2026)","72.95 (Jan 30, 2026)",
Aritas Vinyl Ltd.,SME,"Jan 23, 2026",35.63,1.86,47.0,44.65 (-5%),16.55 (-64.79%),"47.00 (Jan 23, 2026)","13.13 (Feb 23, 2026)",
Armour Security India Ltd.,SME,"Jan 22, 2026",25.17,1.45,57.0,43.35 (-23.95%),26.15 (-54.12%),"45.60 (Jan 22, 2026)","23.05 (Feb 18, 2026)",
INDO SMC Ltd,SME,"Jan 21, 2026",87.34,77.38,149.0,154.80 (3.89%),150.50 (1.01%),"191.70 (Feb 09, 2026)","134.00 (Jan 29, 2026)",
Narmadesh Brass Industries Ltd.,SME,"Jan 21, 2026",42.52,1.25,515.0,470.25 (-8.69%),180.10 (-65.03%),"495.00 (Jan 21, 2026)","176.20 (Feb 12, 2026)",
