Company,Issue Type,Listing Date,Issue Amount (Rs.cr.),Subscription (x),Issue Price (Rs.),Close Price on Listing (Rs.),Market Price (Rs.),52 Week High,52 Week Low,YF_Ticker,Live_Price,Listing_Gain_Pct
Manilam Industries India Ltd.,SME,"Feb 27, 2026",37.94,,69.0,0.0,0.0,,,MANILAM.NS,,-100.0
Gaudium IVF & Women Health Ltd.,Mainboard,"Feb 27, 2026",165.0,,79.0,0.0,0.0,"87.15 (Feb 27, 2026)",,GAUDIUM.NS,,-100.0
Yashhtej Industries (India) Ltd.,SME,"Feb 25, 2026",84.43,1.35,110.0,83.6024,0.0,,,YASHHTEJ.NS,,-23.99781818181818
Fractal Industries Ltd.,SME,"Feb 24, 2026",46.54,4.08,216.0,0.0,0.0,"229.00 (Feb 24, 2026)","196.40 (Feb 26, 2026)",FRACTAL.NS,785.35,-100.0
Marushika Technology Ltd.,SME,"Feb 19, 2026",25.61,12.89,117.0,0.0,0.0,"123.00 (Feb 19, 2026)","98.25 (Feb 26, 2026)",MARUSHIKA.NS,,-100.0
Aye Finance Ltd.,Mainboard,"Feb 16, 2026",1010.0,1.02,129.0,0.0,0.0,"149.69 (Feb 17, 2026)","117.20 (Feb 26, 2026)",AYE.NS,119.96,-100.0
Fractal Analytics Ltd.,Mainboard,"Feb 16, 2026",2833.9,2.01,900.0,0.0,0.0,"921.00 (Feb 17, 2026)","802.35 (Feb 25, 2026)",FRACTAL.NS,785.35,-100.0
Biopol Chemicals Ltd.,SME,"Feb 13, 2026",29.63,22.26,108.0,0.0,0.0,"111.00 (Feb 13, 2026)","89.55 (Feb 20, 2026)",BIOPOL.NS,,-100.0
PAN HR Solutions Ltd.,SME,"Feb 13, 2026",14.08,8.88,78.0,0.0,0.0,"80.00 (Feb 13, 2026)","61.55 (Feb 26, 2026)",PAN.NS,,-100.0
Brandman Retail Ltd.,SME,"Feb 11, 2026",81.78,80.1,176.0,0.0,0.0,"243.80 (Feb 23, 2026)","178.50 (Feb 26, 2026)",BRANDMAN.NS,,-100.0
Grover Jewells Ltd.,SME,"Feb 11, 2026",32.13,13.73,88.0,0.0,0.0,"171.65 (Feb 25, 2026)","91.40 (Feb 11, 2026)",GROVER.NS,,-100.0
CKK Retail Mart Ltd.,SME,"Feb 06, 2026",83.56,1.55,163.0,171.155,0.0,"265.25 (Feb 19, 2026)","163.00 (Feb 06, 2026)",CKK.NS,,5.003067484662577
Kanishk Aluminium India Ltd.,SME,"Feb 04, 2026",27.74,1.04,73.0,55.4824,0.0,"58.40 (Feb 04, 2026)","35.00 (Feb 17, 2026)",KANISHK.NS,,-23.996712328767124
Msafe Equipments Ltd.,SME,"Feb 04, 2026",62.75,116.77,123.0,0.0,0.0,"151.20 (Feb 04, 2026)","117.00 (Feb 26, 2026)",MSAFE.NS,,-100.0
Accretion Nutraveda Ltd.,SME,"Feb 04, 2026",23.53,1.62,129.0,0.0,0.0,"208.00 (Feb 18, 2026)","150.10 (Feb 12, 2026)",ACCRETION.NS,,-100.0
Kasturi Metal Composite Ltd.,SME,"Feb 03, 2026",16.73,12.92,64.0,0.0,0.0,"73.80 (Feb 23, 2026)","55.49 (Feb 16, 2026)",KASTURI.NS,,-100.0
Hannah Joseph Hospital Ltd.,SME,"Feb 02, 2026",39.9,1.47,70.0,0.0,0.0,"71.66 (Feb 03, 2026)","59.00 (Feb 25, 2026)",HANNAH.NS,,-100.0
Shayona Engineering Ltd.,SME,"Jan 30, 2026",14.11,5.38,144.0,0.0,0.0,"166.00 (Feb 12, 2026)","129.00 (Feb 25, 2026)",SHAYONA.NS,,-100.0
KRM Ayurveda Ltd.,SME,"Jan 29, 2026",69.74,52.19,135.0,0.0,0.0,"231.50 (Feb 11, 2026)","156.15 (Feb 04, 2026)",KRM.NS,,-100.0
Shadowfax Technologies Ltd.,Mainboard,"Jan 28, 2026",1907.27,2.02,124.0,0.0,0.0,"127.75 (Feb 13, 2026)","98.55 (Jan 30, 2026)",SHADOWFAX.NS,,-100.0
Digilogic Systems Ltd.,SME,"Jan 28, 2026",76.94,1.23,104.0,0.0,0.0,"107.00 (Feb 06, 2026)","72.95 (Jan 30, 2026)",DIGILOGIC.NS,,-100.0
Aritas Vinyl Ltd.,SME,"Jan 23, 2026",35.63,1.86,47.0,44.655,0.0,"47.00 (Jan 23, 2026)","13.13 (Feb 23, 2026)",ARITAS.NS,,-4.989361702127657
Armour Security India Ltd.,SME,"Jan 22, 2026",25.17,1.45,57.0,0.0,0.0,"45.60 (Jan 22, 2026)","23.05 (Feb 18, 2026)",ARMOUR.NS,,-100.0
INDO SMC Ltd,SME,"Jan 21, 2026",87.34,77.38,149.0,0.0,0.0,"191.70 (Feb 09, 2026)","134.00 (Jan 29, 2026)",INDO.NS,,-100.0
Narmadesh Brass Industries Ltd.,SME,"Jan 21, 2026",42.52,1.25,515.0,0.0,0.0,"495.00 (Jan 21, 2026)","176.20 (Feb 12, 2026)",NARMADESH.NS,,-100.0
